time, Quad.IMU.AX
5.204805,0.124917
5.209805,0.040062
5.214805,-1.396499
5.219804,0.514852
5.224804,-0.675435
5.229804,0.177035
5.234803,-0.447698
5.239803,0.670267
5.244802,-0.018278
5.249802,0.018738
5.254802,-0.330896
5.259801,0.068435
5.264801,0.179268
5.269801,-0.366964
5.274800,0.068866
5.279800,0.486722
5.284800,0.094485
5.289799,0.292478
5.294799,0.599353
5.299798,-0.129005
5.304798,-0.946151
5.309798,0.509213
5.314797,-0.018905
5.319797,-0.732409
5.324797,-0.194783
5.329796,0.254407
5.334796,0.388083
5.339796,-0.000757
5.344795,-0.397904
5.349795,0.318519
5.354795,-1.079637
5.359794,0.063453
5.364794,0.873918
5.369793,0.877838
5.374793,0.305513
5.379793,-0.207502
5.384792,0.676437
5.389792,0.727504
5.394792,-0.578411
5.399791,-0.087317
5.404791,0.023448
5.409791,0.360747
5.414790,0.335129
5.419790,0.727320
5.424789,-0.428992
5.429789,0.381538
5.434789,0.014551
5.439788,-0.433991
5.444788,-0.695530
5.449788,-0.021055
5.454787,0.464527
5.459787,-1.116250
5.464787,0.701376
5.469786,-0.171807
5.474786,0.007250
5.479785,-0.754923
5.484785,0.423217
5.489785,-0.173595
5.494784,0.573699
5.499784,-0.193152
5.504784,0.190578
5.509783,-0.029234
5.514783,0.477385
5.519783,-0.356254
5.524782,1.015547
5.529782,0.485184
5.534781,-0.364401
5.539781,0.098336
5.544781,-0.179259
5.549780,-1.379432
5.554780,0.140721
5.559780,-0.167134
5.564779,-0.040370
5.569779,-0.222652
5.574779,-0.302070
5.579778,-0.523993
5.584778,-0.503298
5.589777,-0.579757
5.594777,0.165488
5.599777,0.059678
5.604776,-0.041749
5.609776,-0.285664
5.614776,-0.022550
5.619775,-1.214682
5.624775,-0.057581
5.629775,-0.293140
5.634774,0.095280
5.639774,-0.031582
5.644773,0.073711
5.649773,-0.540186
5.654773,0.402297
5.659772,0.215165
5.664772,-0.117835
5.669772,-0.693521
5.674771,0.081396
5.679771,-0.132426
5.684771,1.184050
5.689770,-0.267522
5.694770,0.589607
5.699769,0.532276
5.704769,-0.402289
5.709769,-1.295418
5.714768,1.024207
5.719768,-0.601228
5.724768,0.697613
5.729767,-0.111134
5.734767,-0.028856
5.739767,0.374682
5.744766,-0.584632
5.749766,-0.357049
5.754766,-0.702814
5.759765,0.173598
5.764765,-0.552974
5.769764,-0.416435
5.774764,-0.069157
5.779764,0.372078
5.784763,1.188520
5.789763,-0.593338
5.794763,0.268215
5.799762,0.020797
5.804762,-0.058303
5.809762,0.338734
5.814761,0.353609
5.819761,-0.580484
5.824760,0.233371
5.829760,0.213790
5.834760,-0.327530
5.839759,0.055621
5.844759,0.359315
5.849759,0.611905
5.854758,0.753480
5.859758,-1.128375
5.864758,0.147388
5.869757,1.402256
5.874757,-0.385605
5.879756,-0.589926
5.884756,0.759203
5.889756,0.304169
5.894755,0.555714
5.899755,0.252608
5.904755,-0.521736
5.909754,0.077585
5.914754,-0.666034
5.919754,0.217310
5.924753,0.356205
5.929753,-0.031131
5.934752,0.308011
5.939752,-0.132455
5.944752,0.103909
5.949751,-0.356568
5.954751,0.220125
5.959751,-0.401938
5.964750,-0.126106
5.969750,-0.158301
5.974750,-0.405893
5.979749,-0.447678
5.984749,-0.092459
5.989748,-0.361850
5.994748,0.224448
5.999748,0.633560
6.004747,0.912495
6.009747,0.796991
6.014747,-1.115665
6.019746,-0.238715
6.024746,0.293421
6.029746,-0.767131
6.034745,-0.167538
6.039745,0.375623
6.044744,0.092697
6.049744,-0.061064
6.054744,-0.307865
6.059743,-0.678463
6.064743,-0.181651
6.069743,0.680952
6.074742,-1.011118
6.079742,-0.558886
6.084742,-1.115457
6.089741,0.455669
6.094741,-0.290935
6.099741,-0.448919
6.104740,-0.118791
6.109740,-0.316123
6.114739,0.631197
6.119739,0.750125
6.124739,-1.145563
6.129738,-0.565024
6.134738,0.647343
6.139738,-0.253286
6.144737,0.153802
6.149737,0.122326
6.154737,-1.232547
6.159736,-1.141151
6.164736,0.322584
6.169735,-0.542469
6.174735,-0.195399
6.179735,0.323296
6.184734,0.332390
6.189734,-1.822378
6.194734,0.120261
6.199733,0.041309
6.204733,0.281871
6.209733,0.219048
6.214732,-0.182909
6.219732,0.368554
6.224731,0.033542
6.229731,0.248469
6.234731,0.177846
6.239730,-0.294792
6.244730,0.773824
6.249730,0.303502
6.254729,0.814236
6.259729,0.148126
6.264729,-0.169206
6.269728,0.065319
6.274728,0.647095
6.279727,0.697084
6.284727,0.296111
6.289727,-0.150615
6.294726,0.415961
6.299726,-0.115539
6.304726,-0.050083
6.309725,-0.275158
6.314725,0.530644
6.319725,-0.444280
6.324724,0.794940
6.329724,-0.069102
6.334723,-0.640464
6.339723,0.296187
6.344723,-0.940605
6.349722,0.002220
6.354722,-0.136004
6.359722,-0.766886
6.364721,-0.545170
6.369721,-0.235432
6.374721,0.036939
6.379720,-0.249317
6.384720,-0.883891
6.389719,1.000154
6.394719,-0.041284
6.399719,-0.013599
6.404718,-0.405895
6.409718,-0.013607
6.414718,0.245884
6.419717,-0.243247
6.424717,-0.023644
6.429717,-0.062503
6.434716,-0.240532
6.439716,-0.133015
6.444715,0.070819
6.449715,-0.031922
6.454715,-0.646432
6.459714,-0.142658
6.464714,-0.545200
6.469714,-0.023303
6.474713,0.954950
6.479713,0.041788
6.484713,-0.175739
6.489712,0.552502
6.494712,-0.509758
6.499712,-0.174666
6.504711,0.264003
6.509711,0.074763
6.514710,0.231192
6.519710,-0.553935
6.524710,0.136936
6.529709,0.975675
6.534709,0.407033
6.539709,0.032759
6.544708,-0.220626
6.549708,0.185819
6.554708,0.482597
6.559707,-0.139541
6.564707,0.202802
6.569706,-0.482895
